ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass
0,Public Sector,,Male,High School Equivalent,Single,0,3.18,IHG,23,No,7,Yes,Medical Tourism,1433.147527,Bronze
1,Private Sector,,,Associate Degree,Married,1,2.07,IHG,48,No,4,Yes,Leisure Travel,38.37902273,Silver
2,Business,44,Female,Masters Degree,Married,,2.81,Discovery,32,No,1,No,Leisure Travel,0,Bronze
3,Public Sector,,Male,Bachelors Degree,Single,0,3.46,IHG,6,No,16,Yes,Medical Tourism,0,Bronze
4,Business,,Female,Bachelors Degree,Widowed,,3.21,Marriott,,Yes,0,No,Business,764.4187671,Silver
5,Private Sector,27,,Professional,Single,,3.11,Discovery,22,Yes,0,Yes,Business,0,Silver
6,Private Sector,,,Bachelors Degree,Single,0,2.07,Jumeirah,,No,18,No,Leisure Travel,0,Silver
7,,,,High School Equivalent,Widowed,0,3.22,IHG,15,Yes,0,No,Business,1229.580788,Bronze
8,Private Sector,47,Female,Professional,Married,1,2.9,Marriott,22,No,8,Yes,Business,0,Silver
9,Private Sector,19,,High School Equivalent,Married,,3.38,None,46,No,15,Yes,Business,0,Bronze
10,Business,23,Male,MBA,Married,,2.87,Discovery,46,Yes,0,Yes,Medical Tourism,0,Silver
11,Self-Employed,60,Female,Bachelors Degree,Divorced,,3.46,Jumeirah,13,No,12,Yes,Leisure Travel,0,Bronze
12,,,,Associate Degree,Divorced,,2.45,Discovery,16,No,1,No,Medical Tourism,0,Silver
13,Business,,Male,High School Equivalent,Married,1,3.75,Expedia,14,No,15,Yes,Medical Tourism,0.018158736,Bronze
14,Public Sector,60,Female,Masters Degree,Married,,2.48,None,15,Yes,0,Yes,Business,0,Silver
15,Business,55,Female,MBA,Married,1,2.69,Marriott,22,No,2,Yes,Leisure Travel,0.539015657,Silver
16,Public Sector,,Female,Bachelors Degree,Divorced,1,2.17,IHG,2,No,7,Yes,Leisure Travel,1346.498445,Bronze
17,Private Sector,53,Female,MBA,Married,,2.39,None,41,Yes,0,Yes,Business,1936.483309,Silver
18,Self-Employed,27,Female,Bachelors Degree,Single,0,2.49,Marriott,25,No,9,No,Medical Tourism,0,Bronze
19,Public Sector,29,Male,High School Equivalent,Divorced,1,2.21,Marriott,23,No,17,No,Business,0,Gold
20,Business,29,Male,MBA,Single,0,2.02,Hilton,43,Yes,0,No,Leisure Travel,0,Silver
21,Private Sector,49,Female,High School Equivalent,Single,,2.49,IHG,49,No,6,Yes,Medical Tourism,4816.998384,Silver
22,Private Sector,,Male,High School Equivalent,Married,1,2.49,Expedia,4,Yes,0,No,Medical Tourism,2153.603262,Silver
23,Business,,,High School Equivalent,Divorced,1,2.83,IHG,31,No,7,Yes,Leisure Travel,0,Bronze
24,Business,,Female,MBA,Single,0,3.37,Marriott,20,No,10,Yes,Leisure Travel,2468.092823,Silver
25,Business,,Male,Bachelors Degree,Divorced,3,2.58,IHG,12,Yes,0,No,Business,5745.743839,Silver
26,Business,33,,MBA,Single,0,2.8,Hilton,5,No,1,No,Business,0,Bronze
27,Business,37,,High School Equivalent,Widowed,,3.03,IHG,13,No,3,No,Leisure Travel,2.81819E-06,Silver
28,Business,40,,High School Equivalent,Married,1,2.69,None,10,No,4,Yes,Business,4422.421262,Bronze
29,Business,19,Female,High School Equivalent,Divorced,,2.74,Marriott,49,Yes,0,No,Leisure Travel,0,Silver
30,Public Sector,29,Male,Masters Degree,Single,0,2.7,Marriott,36,Yes,0,Yes,Business,0.004292728,Silver
31,Business,60,Female,Bachelors Degree,Single,0,3.87,Jumeirah,30,No,19,Yes,Business,32.06507462,Silver
32,Self-Employed,53,Male,Bachelors Degree,Widowed,3,3.41,IHG,,Yes,0,Yes,Medical Tourism,0,Silver
33,Private Sector,23,Male,Associate Degree,Widowed,,2.35,IHG,14,No,1,No,Medical Tourism,362.9713638,Silver
34,,56,Female,High School Equivalent,Divorced,,3.17,Jumeirah,29,No,15,Yes,Leisure Travel,0,Silver
35,Private Sector,,,Associate Degree,Widowed,0,2.84,Marriott,8,No,16,No,Leisure Travel,0.337510717,Silver
36,Private Sector,22,Male,High School Equivalent,Widowed,,2.83,IHG,5,No,4,Yes,Medical Tourism,193.1807488,Silver
37,Public Sector,30,Female,Bachelors Degree,Single,,2.38,IHG,3,No,2,Yes,Leisure Travel,0,Silver
38,Private Sector,,Female,MBA,Married,1,3.06,IHG,41,No,17,No,Medical Tourism,229.8981095,Silver
39,Business,,Female,High School Equivalent,Divorced,,3.33,Marriott,36,Yes,0,Yes,Leisure Travel,0,Gold
40,Business,,Female,Associate Degree,Single,0,3.33,Hilton,31,No,13,No,Medical Tourism,4.188482672,Bronze
41,Public Sector,,Female,High School Equivalent,Widowed,,1.95,IHG,16,Yes,0,Yes,Leisure Travel,0.02181661,Bronze
42,Private Sector,,,MBA,Married,,4,None,45,No,16,Yes,Business,23525.73889,Silver
43,Public Sector,,,MBA,Married,,2.94,None,30,No,3,Yes,Leisure Travel,0,Bronze
44,Private Sector,22,Female,Bachelors Degree,Married,2,2.73,None,40,No,14,No,Business,1.776607478,Silver
45,Public Sector,36,Female,Masters Degree,Single,0,2.64,IHG,39,No,5,No,Business,0,Bronze
46,Private Sector,,Female,Associate Degree,Single,,2.35,Marriott,0,No,1,No,Business,0,Silver
47,Public Sector,21,,Associate Degree,Married,1,3.18,None,38,No,20,Yes,Medical Tourism,0.010001641,Silver
48,Private Sector,,Female,Associate Degree,Widowed,0,3.4,Marriott,23,Yes,0,Yes,Business,0,Bronze
49,Private Sector,,Female,MBA,Married,,3.14,Expedia,24,Yes,0,Yes,Business,13601.41762,Silver
50,Private Sector,,,High School Equivalent,Married,,2.93,Hilton,19,No,4,Yes,Business,2497.912736,Silver
51,Private Sector,54,Male,High School Equivalent,Single,,2.2,Hilton,38,No,5,Yes,Business,0,Silver
52,Public Sector,27,Female,Associate Degree,Single,,2.94,IHG,7,No,5,No,Business,13472.72906,Bronze
53,Private Sector,25,Female,Technical/Occupational Certificate,Widowed,1,3.08,IHG,20,No,13,Yes,Medical Tourism,6161.204587,Bronze
54,Private Sector,,Female,MBA,Married,1,3.18,IHG,,No,20,No,Business,24.31127302,Silver
55,Self-Employed,45,,Associate Degree,Divorced,4,2.63,IHG,11,Yes,0,No,Medical Tourism,0,Silver
56,Self-Employed,,Female,High School Equivalent,Single,,3.25,Marriott,30,No,11,No,Medical Tourism,0,Silver
57,Business,33,,MBA,Single,0,3.12,Marriott,4,Yes,0,Yes,Medical Tourism,8.447366632,Bronze
58,Public Sector,36,Female,High School Equivalent,Married,4,4,Expedia,3,No,13,Yes,Leisure Travel,0,Silver
59,Private Sector,43,Female,MBA,Single,,3.18,IHG,25,No,12,No,Leisure Travel,7311.889208,Bronze
60,Business,46,Female,Bachelors Degree,Single,0,4,IHG,15,Yes,0,No,Business,0,Bronze
61,Self-Employed,,,High School Equivalent,Married,,3,IHG,,No,17,No,Business,70.67924813,Silver
62,Business,28,,High School Equivalent,Married,1,4,None,10,No,16,Yes,Medical Tourism,0,Bronze
63,Business,,Male,MBA,Married,3,2.59,Marriott,5,No,14,No,Business,0,Silver
64,Private Sector,,Male,Masters Degree,Married,1,2.33,Hilton,8,No,16,No,Leisure Travel,0,Bronze
65,Private Sector,,Male,High School Equivalent,Married,1,2.15,IHG,,No,18,Yes,Leisure Travel,0,Bronze
66,Private Sector,58,Female,Bachelors Degree,Married,3,3.21,Discovery,32,Yes,0,No,Business,0,Silver
67,Private Sector,42,Male,High School Equivalent,Divorced,,2.18,Jumeirah,21,Yes,0,Yes,Medical Tourism,1091.272007,Silver
68,Private Sector,53,Male,Professional,Divorced,,2.9,IHG,45,No,18,Yes,Leisure Travel,427.9671789,Silver
69,Public Sector,,Male,MBA,Single,0,3.12,Discovery,7,Yes,0,No,Medical Tourism,333.4862134,Bronze
70,Private Sector,,Female,MBA,Divorced,0,2.58,None,1,No,6,Yes,Business,0,Silver
71,Business,19,,High School Equivalent,Married,,3.18,Discovery,,No,1,Yes,Business,0,Silver
72,Private Sector,59,Female,Associate Degree,Married,,1.86,IHG,0,Yes,0,No,Medical Tourism,969.5792435,Silver
73,Business,25,,Professional,Divorced,1,2.14,Expedia,46,No,17,No,Medical Tourism,0,Bronze
74,Private Sector,56,Male,High School Equivalent,Single,0,2.58,Hilton,33,No,2,No,Leisure Travel,1114.604715,Silver
75,Private Sector,50,Female,High School Equivalent,Married,,2.9,Marriott,38,No,15,Yes,Medical Tourism,1248.187082,Silver
